year,rank,artist,song,duration,genre0,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genre11,genre12,genre13,genre14,genre15,genre16
1953,6,Teresa Brewer,Till I Waltz Again With You,180000,jazz,rock,,,,,,,,,,,,,,,
1953,7,Les Baxter,April In Portugal,162000,jazz,dance,electronic,rock,,,,,,,,,,,,,
1953,8,Perry Como,No Other Love,191000,rock,jazz,blues,soul,,,,,,,,,,,,,
1953,9,Perry Como,Don't Let The Stars Get In Your Eyes,163000,jazz,alternative,soul,blues,,,,,,,,,,,,,
1953,10,Frankie Laine,I Believe,129000,country,jazz,soul,folk,rock,r&b,,,,,,,,,,,
1953,11,Pee Wee Hunt,Oh,162000,jazz,,,,,,,,,,,,,,,,
1953,12,Frank Chacksfield,Ebb Tide,184000,jazz,,,,,,,,,,,,,,,,
1953,13,Nat King Cole,Pretend,164000,jazz,blues,soul,r&b,rock,ballad,country,dance,funk,new wave,alternative,hip-hop,,,,,
1953,14,Richard Hayman,Ruby,176000,electronic,jazz,,,,,,,,,,,,,,,
1953,15,Stan Freberg,St. George And The Dragonet,224000,rock,,,,,,,,,,,,,,,,
1953,16,Hilltoppers,P.S. I Love You,164000,,,,,,,,,,,,,,,,,
1953,17,Gaylords,Tell Me You're Mine,165000,reggae,,,,,,,,,,,,,,,,
1953,18,Julius La Rosa,Eh Cumpari,145000,,,,,,,,,,,,,,,,,
1953,19,Tony Bennett,Rags To Riches,77000,jazz,ballad,blues,soul,rock,r&b,country,funk,,,,,,,,,
1953,20,Silvana Mangano,Anna,149000,,,,,,,,,,,,,,,,,
1953,21,Perry Como,Say You're Mine Again,173000,jazz,blues,soul,,,,,,,,,,,,,,
1953,22,Ray Anthony,Dragnet,165000,jazz,soul,blues,dance,r&b,rock,,,,,,,,,,,
1953,23,Frankie Laine and Jimmy Boyd,Tell Me A Story,128000,,,,,,,,,,,,,,,,,
1953,24,June Valli,Crying In The Chapel,167000,,,,,,,,,,,,,,,,,
1953,25,Joni James,Why Don't You Believe Me,174000,jazz,,,,,,,,,,,,,,,,
1953,26,Joni James,Your Cheating Heart,139000,jazz,,,,,,,,,,,,,,,,
1953,27,Frank Chacksfield,Limelight (Terry's Theme),143000,jazz,,,,,,,,,,,,,,,,
1953,28,Eddie Fisher,With These Hands,170000,jazz,blues,r&b,country,,,,,,,,,,,,,
1953,29,Eartha Kitt,C'est Si Bon,177000,jazz,blues,soul,dance,disco,,,,,,,,,,,,
1953,30,Joni James,Have You Heard?,179000,jazz,,,,,,,,,,,,,,,,
1954,1,Kitty Kallen,Little Things Mean A Lot,179000,country,jazz,soul,,,,,,,,,,,,,,
